[00:48:29] KOD: 6736 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:49:18] KOD: 2296 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:49:19] KOD: 9772 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:49:21] KOD: 7230 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:49:22] KOD: 4242 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:49:24] KOD: 7490 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:49:25] KOD: 7750 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:49:27] KOD: 1651 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:49:28] KOD: 4978 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:49:30] KOD: 7794 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:49:31] KOD: 8929 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:49:33] KOD: 8926 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:49:34] KOD: 7859 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:49:36] KOD: 7523 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:49:37] KOD: 4209 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:49:39] KOD: 6429 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:49:40] KOD: 1952 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:49:42] KOD: 5130 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:49:43] KOD: 7269 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:49:45] KOD: 2299 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:49:46] KOD: 6469 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:49:48] KOD: 5683 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:49:49] KOD: 7502 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:49:51] KOD: 2443 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:49:52] KOD: 6662 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:49:54] KOD: 8429 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:49:55] KOD: 2400 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:49:57] KOD: 9922 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:49:58] KOD: 1190 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:50:00] KOD: 9468 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:50:01] KOD: 3059 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:50:03] KOD: 1074 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:50:04] KOD: 3044 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:50:06] KOD: 7253 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:50:07] KOD: 5898 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:50:09] KOD: 6402 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:50:10] KOD: 5849 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:50:12] KOD: 3879 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:50:13] KOD: 3734 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:50:15] KOD: 5176 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:50:16] KOD: 6580 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:50:18] KOD: 2817 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:50:19] KOD: 9327 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:50:21] KOD: 4882 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:50:22] KOD: 7203 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:50:24] KOD: 4602 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:50:25] KOD: 1679 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:50:27] KOD: 6874 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:50:28] KOD: 2791 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:50:30] KOD: 5328 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:50:31] KOD: 2915 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:50:33] KOD: 2417 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:50:34] KOD: 4995 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:50:36] KOD: 8119 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:50:37] KOD: 9862 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:50:39] KOD: 2569 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:50:40] KOD: 5475 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:50:42] KOD: 6600 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:50:43] KOD: 5905 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:50:45] KOD: 9220 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:50:46] KOD: 4447 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:50:48] KOD: 6741 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:50:49] KOD: 1440 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:50:51] KOD: 3699 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:50:52] KOD: 2977 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:50:54] KOD: 3189 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:50:55] KOD: 6467 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:50:57] KOD: 7716 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:50:58] KOD: 7695 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:51:00] KOD: 5710 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:51:01] KOD: 4705 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:51:03] KOD: 1628 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:51:04] KOD: 1668 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:51:06] KOD: 9035 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:51:07] KOD: 7501 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:51:09] KOD: 2322 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:51:10] KOD: 9519 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:51:12] KOD: 9825 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:51:13] KOD: 4109 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:51:15] KOD: 6182 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:51:16] KOD: 5338 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:51:18] KOD: 4715 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:51:19] KOD: 3132 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:51:21] KOD: 4975 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:51:22] KOD: 5218 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:51:24] KOD: 1521 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:51:25] KOD: 8669 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:51:27] KOD: 6740 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:51:28] KOD: 3843 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:51:30] KOD: 2455 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:51:31] KOD: 9356 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:51:33] KOD: 3762 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:51:35] KOD: 3653 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:51:36] KOD: 4450 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:51:38] KOD: 1645 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:51:39] KOD: 4233 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:51:41] KOD: 7109 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:51:42] KOD: 6574 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:51:44] KOD: 4436 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:51:45] KOD: 8776 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:51:47] KOD: 7146 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:51:48] KOD: 2185 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:51:50] KOD: 6358 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:51:51] KOD: 5456 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:51:53] KOD: 3637 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:51:54] KOD: 7425 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:51:56] KOD: 9524 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:51:57] KOD: 5035 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:51:59] KOD: 3004 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:52:00] KOD: 1518 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:52:02] KOD: 6819 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:52:03] KOD: 8204 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:52:05] KOD: 6077 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:52:06] KOD: 5342 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:52:08] KOD: 3534 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:52:09] KOD: 6037 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:52:11] KOD: 1165 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:52:12] KOD: 2066 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:52:14] KOD: 1666 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:52:15] KOD: 1817 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:52:17] KOD: 6796 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:52:18] KOD: 2583 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:52:20] KOD: 4277 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:52:21] KOD: 4646 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:52:23] KOD: 8995 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:52:24] KOD: 2296 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:52:26] KOD: 1835 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:52:27] KOD: 3640 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:52:29] KOD: 3354 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:52:30] KOD: 6245 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:52:32] KOD: 5165 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:52:33] KOD: 9373 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:52:35] KOD: 2897 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:52:36] KOD: 1568 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:52:38] KOD: 8207 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:52:39] KOD: 4276 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:52:41] KOD: 1339 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:52:42] KOD: 7373 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:52:44] KOD: 2976 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:52:45] KOD: 6493 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:52:47] KOD: 7302 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:52:48] KOD: 5324 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:52:50] KOD: 4148 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:52:51] KOD: 4705 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:52:53] KOD: 3599 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:52:54] KOD: 3312 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:52:56] KOD: 8200 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:52:57] KOD: 1247 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:52:59] KOD: 5215 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:53:00] KOD: 2019 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:53:02] KOD: 6485 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:53:03] KOD: 4673 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:53:05] KOD: 9383 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:53:06] KOD: 1560 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:53:08] KOD: 9154 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:53:09] KOD: 6416 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:53:11] KOD: 7981 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:53:12] KOD: 1948 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:53:14] KOD: 9817 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:53:15] KOD: 4286 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:53:17] KOD: 8032 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:53:18] KOD: 3232 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:53:20] KOD: 5285 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:53:21] KOD: 8197 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:53:23] KOD: 5218 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:53:24] KOD: 1168 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:53:26] KOD: 3600 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:53:27] KOD: 3757 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:53:29] KOD: 3311 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:53:30] KOD: 3881 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:53:32] KOD: 2489 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:53:33] KOD: 4885 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:53:35] KOD: 9950 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:53:36] KOD: 9103 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:53:38] KOD: 7613 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:53:39] KOD: 9942 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:53:41] KOD: 1480 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:53:42] KOD: 7275 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:53:44] KOD: 6098 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:53:45] KOD: 2301 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:53:47] KOD: 4254 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:53:48] KOD: 3811 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:53:50] KOD: 7197 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:53:51] KOD: 8774 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:53:53] KOD: 9554 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:53:54] KOD: 4344 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:53:56] KOD: 5899 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:53:57] KOD: 9746 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:53:59] KOD: 1401 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:54:00] KOD: 9010 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:54:02] KOD: 6784 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:54:03] KOD: 9613 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:54:05] KOD: 1017 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:54:07] KOD: 3607 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:54:08] KOD: 6816 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:54:10] KOD: 3234 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:54:11] KOD: 8816 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:54:13] KOD: 4217 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:54:14] KOD: 2655 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:54:16] KOD: 5047 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:54:17] KOD: 6152 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:54:19] KOD: 5862 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:54:20] KOD: 3644 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:54:22] KOD: 9155 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:54:23] KOD: 8987 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:54:25] KOD: 1022 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:54:26] KOD: 2565 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:54:28] KOD: 1297 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:54:29] KOD: 4337 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:54:31] KOD: 1149 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:54:32] KOD: 7041 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:54:34] KOD: 8988 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:54:35] KOD: 1149 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:54:37] KOD: 4928 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:54:38] KOD: 4125 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:54:40] KOD: 7277 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:54:41] KOD: 7626 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:54:43] KOD: 1878 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:54:44] KOD: 9458 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:54:46] KOD: 4423 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:54:47] KOD: 3955 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:54:49] KOD: 5099 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:54:50] KOD: 5759 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:54:52] KOD: 9024 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:54:53] KOD: 9601 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:54:55] KOD: 5569 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:54:56] KOD: 2749 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:54:58] KOD: 4803 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:54:59] KOD: 4342 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:55:01] KOD: 3560 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:55:02] KOD: 6162 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:55:04] KOD: 2322 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:55:05] KOD: 1782 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:55:07] KOD: 9062 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:55:08] KOD: 4498 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:55:10] KOD: 3045 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:55:11] KOD: 3445 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:55:13] KOD: 8084 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:55:14] KOD: 2723 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:55:16] KOD: 4043 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:55:17] KOD: 7670 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:55:19] KOD: 1879 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:55:20] KOD: 9689 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:55:22] KOD: 1438 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:55:23] KOD: 2382 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:55:25] KOD: 4335 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:55:26] KOD: 4802 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:55:28] KOD: 8638 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:55:29] KOD: 4771 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:55:31] KOD: 1688 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:55:32] KOD: 8199 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:55:34] KOD: 5547 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:55:35] KOD: 9296 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:55:37] KOD: 9136 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:55:38] KOD: 1993 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:55:40] KOD: 1433 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:55:41] KOD: 5663 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:55:43] KOD: 3494 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:55:44] KOD: 9576 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:55:46] KOD: 5535 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:55:47] KOD: 5622 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:55:49] KOD: 6887 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:55:50] KOD: 1550 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:55:52] KOD: 9314 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:55:53] KOD: 3261 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:55:55] KOD: 5957 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:55:56] KOD: 8353 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:55:58] KOD: 8045 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:55:59] KOD: 3481 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:56:01] KOD: 5814 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:56:02] KOD: 1811 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:56:04] KOD: 9840 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:56:05] KOD: 7416 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:56:07] KOD: 2931 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:56:08] KOD: 9236 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:56:10] KOD: 3442 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:56:11] KOD: 4543 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:56:13] KOD: 8420 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:56:14] KOD: 2751 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:56:16] KOD: 5344 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:56:17] KOD: 4702 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:56:19] KOD: 6523 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:56:20] KOD: 2339 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:56:22] KOD: 6646 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:56:23] KOD: 8030 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:56:25] KOD: 6133 | TEHDIT: ORTA | DURUM: ENGELLENDI
[00:56:26] KOD: 7648 | TEHDIT: DÜŞÜK | DURUM: ENGELLENDI
[00:56:28] KOD: 2989 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:56:29] KOD: 3582 | TEHDIT: KRITIK | DURUM: ENGELLENDI
[00:56:31] KOD: 8091 | TEHDIT: ACIL | DURUM: ENGELLENDI
[00:56:32] KOD: 3864 | TEHDIT: KRITIK | DURUM: ENGELLENDI
